index,F,E0,mag,vol,nFe,nCo,nS
1152,-73.402776,-73.396055,2.7399,199.95,1,4,8
1153,-41.555984,-41.553526,2.2499,100.9,1,2,4
1154,-58.105346,-58.100481,0.0067,127.35,1,4,5
1155,-365.73543,-365.70503,73.83,554.02,36,8,4
1156,-73.277809,-73.2709,0.209,183.53,2,4,6
1157,-67.007537,-67.004356,2.9846,205.74,2,2,8
1158,-46.79847,-46.793043,4.8699,106.37,1,3,4
1159,-60.493341,-60.489368,3.9296,153.89,1,4,5
1160,-158.51206,-158.50498,4.0513,391.21,3,8,16
1161,-215.80387,-215.78944,2.4936,517.25,9,9,16
1162,-308.8747,-308.8509,2.3699,597.21,20,8,18
1163,-73.443987,-73.435729,1.2136,195.95,1,4,8
1164,-118.5961,-118.59086,12.0266,292.43,6,2,12
1165,-63.940502,-63.935031,2.1105,153.34,4,1,5
1166,-67.711649,-67.708545,3.9351,212.82,3,1,8
1167,-120.78909,-120.77632,0.7895,305.39,2,8,10
1168,-128.6217,-128.61356,11.636,250.91,4,8,8
1169,-121.89924,-121.88828,11.7495,342.67,4,4,14
1170,-107.22088,-107.21065,0.006,372.08,2,4,14
1171,-108.54549,-108.53889,0.3845,296.73,4,4,10
1172,-328.13343,-328.10498,5.4238,905.47,8,16,32
1173,-108.5491,-108.54201,0.3773,296.14,4,4,10
1174,-64.444247,-64.439443,1.6357,202.97,1,3,8
1175,-141.48622,-141.47916,32.8907,242.06,13,1,6
1176,-163.32418,-163.31134,5.0443,416.2,2,10,16
1177,-37.064482,-37.061621,11,116.56,3,1,2
1178,-199.59603,-199.56362,27.3367,346.14,18,8,2
1179,-42.11134,-42.108475,0,114.28,2,1,4
1180,-87.291198,-87.288377,6.0075,192.17,5,1,8
1181,-85.034392,-85.023488,3.8899,230.74,4,2,8
1182,-73.703598,-73.697686,7.4332,176.55,6,1,4
1183,-48.756123,-48.752042,0.7004,125.33,1,3,4
1184,-174.47907,-174.47405,2.334,579.41,9,1,20
1185,-64.840368,-64.835757,0.1288,149.83,5,1,4
1186,-161.72127,-161.71762,1.5219,475.17,8,4,14
1187,-124.24915,-124.24031,7.6192,272.57,2,10,8
1188,-51.081628,-51.078498,1.1469,121.96,3,1,4
1189,-228.12323,-228.11065,11.0076,548.62,10,7,20
1190,-117.63689,-117.63083,1.5882,310.96,4,4,12
1191,-129.76457,-129.74872,0.0011,268.68,4,8,8
1192,-37.019946,-37.016517,0.5086,92.77,2,1,3
1193,-24.823298,-24.821508,0,67.08,1,1,2
1194,-106.7132,-106.7057,16.0359,177.71,3,9,4
1195,-238.49288,-238.47635,10.2845,615.47,9,7,24
1196,-153.33721,-153.33393,3.8889,342.48,8,4,12
1197,-155.22201,-155.21198,17.2467,317.12,8,8,8
1198,-92.597807,-92.592495,0,226.19,3,4,8
1199,-50.197909,-50.193939,2.5224,152.66,2,1,6
1200,-437.68357,-437.65608,10.9287,1130.17,4,30,40
1201,-83.052216,-83.045463,3.3959,229.99,2,3,10
1202,-230.12172,-230.10904,0.9062,603.9,3,13,24
1203,-50.434472,-50.432537,1.0182,131.03,2,2,4
1204,-75.774404,-75.767333,3.8993,150.05,4,2,6
1205,-118.42406,-118.41403,0.0692,357.09,6,2,12
1206,-42.853797,-42.849819,1.7654,135.81,2,1,4
1207,-224.10582,-224.09321,16.0316,579.84,2,18,18
1208,-134.00046,-133.98875,5.3018,240.82,8,4,8
1209,-42.99873,-42.995364,2.76,96.26,2,1,4
1210,-157.8252,-157.81624,0.5631,404.25,3,8,16
1211,-85.162856,-85.155166,5.1439,204.45,5,1,8
1212,-346.2509,-346.22479,35.1128,1007.01,24,2,28
1213,-179.89519,-179.88271,6.8226,386.1,8,8,12
1214,-566.71043,-566.67898,52.341,1321.81,36,5,48
1215,-59.479236,-59.475132,1.302,134.21,4,1,4
1216,-120.51409,-120.50734,33.7664,188.94,12,2,2
1217,-294.48114,-294.46375,1.3044,588.79,8,20,18
1218,-64.664361,-64.660037,4.741,153.16,5,1,4
1219,-41.551007,-41.549069,0.001,97.38,1,2,4
1221,-51.499728,-51.497151,2.1123,128.78,3,1,4
1222,-233.12665,-233.11125,0.0851,601.71,4,13,23
1223,-93.994031,-93.993059,0,273.91,4,2,10
1224,-415.1113,-415.08802,0.214,918.74,1,35,32
1225,-89.567998,-89.559462,0.6849,248.29,1,5,10
1226,-155.38558,-155.37277,0.0342,495.46,4,8,14
1227,-84.586468,-84.577677,0.2093,201.7,3,3,8
1228,-112.77085,-112.76282,20.7298,179.8,8,4,4
1229,-41.472909,-41.4701,0.296,116.46,1,2,4
1230,-36.63562,-36.631868,8.3333,86.62,2,2,2
1231,-49.578239,-49.572935,0.1572,130.11,1,3,4
1232,-260.53417,-260.52469,19.4926,801.48,8,12,24
1233,-53.275729,-53.273022,5.0558,110.27,4,1,3
1234,-250.90735,-250.88788,10.9082,630.75,10,8,24
1235,-81.705239,-81.697785,1.8003,264.81,1,4,10
1236,-95.606856,-95.600667,4.2934,240.07,5,1,10
