index,F,E0,mag,vol,nFe,nCo,nS,Eform,Ehull,Js
1169,-121.899240,-121.888280,11.749500,342.670000,4,4,14,-0.147765,0.362010,0.399596
1170,-107.220880,-107.210650,0.006000,372.080000,2,4,14,-0.260287,0.154963,0.000188
1171,-108.545490,-108.538890,0.384500,296.730000,4,4,10,-0.356773,0.192039,0.015101
1172,-328.133430,-328.104980,5.423800,905.470000,8,16,32,-0.343004,0.207889,0.069808
1173,-108.549100,-108.542010,0.377300,296.140000,4,4,10,-0.356946,0.191866,0.014848
1174,-64.444247,-64.439443,1.635700,202.970000,1,3,8,-0.201600,0.252847,0.093918
1175,-141.486220,-141.479160,32.890700,242.060000,13,1,6,-0.084960,0.241270,1.583534
1176,-163.324180,-163.311340,5.044300,416.200000,2,10,16,-0.418577,0.121041,0.141246
1177,-37.064482,-37.061621,11.000000,116.560000,3,1,2,0.505852,0.904994,1.099817
1178,-199.596030,-199.563620,27.336700,346.140000,18,8,2,0.481819,0.672384,0.920390
1179,-42.111340,-42.108475,0.000000,114.280000,2,1,4,-0.295397,0.240900,0.000000
1180,-87.291198,-87.288377,6.007500,192.170000,5,1,8,-0.412741,0.111614,0.364322
1181,-85.034392,-85.023488,3.889900,230.740000,4,2,8,-0.353006,0.183290,0.196469
1182,-73.703598,-73.697686,7.433200,176.550000,6,1,4,-0.035626,0.372072,0.490665
1183,-48.756123,-48.752042,0.700400,125.330000,1,3,4,-0.406534,0.165186,0.065128
1184,-174.479070,-174.474050,2.334000,579.410000,9,1,20,-0.337917,0.170680,0.046945
1185,-64.840368,-64.835757,0.128800,149.830000,5,1,4,0.015377,0.458473,0.010018
1186,-161.721270,-161.717620,1.521900,475.170000,8,4,14,-0.377502,0.159068,0.037326
1187,-124.249150,-124.240310,7.619200,272.570000,2,10,8,-0.284504,0.243952,0.325768
1188,-51.081628,-51.078498,1.146900,121.960000,3,1,4,-0.340191,0.189735,0.109594
1189,-228.123230,-228.110650,11.007600,548.620000,10,7,20,-0.381941,0.160637,0.233829
